sensor_id,timestamp,value,location,device_type,hour_of_day
sensor-001,01-05-2024,23.5,Warehouse A,temperature,8
sensor-002,01-05-2024,25.1,Warehouse B,humidity,9
sensor-003,01-05-2024,22.9,Warehouse A,temperature,10
sensor-004,01-05-2024,55.2,Warehouse C,humidity,11
sensor-005,01-05-2024,75.3,Warehouse A,pressure,12
sensor-006,01-05-2024,24.8,Warehouse B,temperature,13
sensor-007,01-05-2024,60.4,Warehouse D,humidity,14
sensor-008,01-05-2024,20.2,Warehouse C,temperature,15
sensor-009,01-05-2024,76.1,Warehouse A,pressure,16
sensor-010,01-05-2024,58.3,Warehouse D,humidity,17
sensor-011,01-05-2024,21.9,Warehouse A,temperature,18
sensor-012,01-05-2024,54.8,Warehouse C,humidity,19
sensor-013,01-05-2024,80.0,Warehouse B,pressure,20
sensor-014,01-05-2024,22.5,Warehouse A,temperature,21
sensor-015,01-05-2024,56.6,Warehouse D,humidity,22
sensor-016,01-05-2024,74.2,Warehouse C,pressure,23
sensor-017,02-05-2024,24.0,Warehouse A,temperature,0
sensor-018,02-05-2024,61.5,Warehouse B,humidity,1
sensor-019,02-05-2024,78.9,Warehouse D,pressure,2
sensor-020,02-05-2024,22.8,Warehouse A,temperature,3
